category,term,number_of_genes,number_of_genes_in_background,ncbiTaxonId,inputGenes,preferredNames,p_value,fdr,description,Seed_Gene,Neighborhood_Size
PMID,PMID:31932351,2,3,9606,"CNTF,CNTFR","CNTF,CNTFR",1.08e-06,0.0417,(2020) GDE3 regulates oligodendrocyte precursor proliferation via release of soluble CNTFRalpha.,CRLF1,7
PMID,PMID:32023849,3,65,9606,"IL27,CNTF,CNTFR","IL27,CNTF,CNTFR",1.36e-06,0.0417,(2020) GP130 Cytokines in Breast Cancer and Bone.,CRLF1,7
PMID,PMID:32267936,3,62,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",1.19e-06,0.0417,(2020) Historical overview of the interleukin-6 family cytokine.,CRLF1,7
PMID,PMID:32313077,3,53,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",7.55e-07,0.0417,(2020) Impacts of ciliary neurotrophic factor on the retinal transcriptome in a mouse model of photoreceptor degeneration.,CRLF1,7
PMID,PMID:30885765,2,2,9606,"IL12A,CRLF1","IL12A,CRLF1",6.49e-07,0.0417,(2019) Revisiting the combinatorial potential of cytokine subunits in the IL-12 family.,CRLF1,7
PMID,PMID:30995503,3,53,9606,"IL27,CNTF,CRLF1","IL27,CNTF,CRLF1",7.55e-07,0.0417,(2019) The Immunobiology of the Interleukin-12 Family: Room for Discovery.,CRLF1,7
PMID,PMID:28255204,3,67,9606,"IL27,CNTF,CRLF1","IL27,CNTF,CRLF1",1.49e-06,0.0417,(2017) Dual Roles of IL-27 in Cancer Biology and Immunotherapy.,CRLF1,7
PMID,PMID:28256556,3,65,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",1.36e-06,0.0417,(2017) An inflammatory gene signature distinguishes neurofibroma Schwann cells and macrophages from cells in the normal peripheral nervous system.,CRLF1,7
PMID,PMID:28883757,3,57,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",9.31e-07,0.0417,(2017) Time-dependent proteomic and genomic alterations in Toll-like receptor-4-activated human chondrocytes: increased expression of lamin AC and annexins.,CRLF1,7
PMID,PMID:26718832,2,2,9606,"CNTF,CNTFR","CNTF,CNTFR",6.49e-07,0.0417,(2016) Neurotrophin signaling in a genitofemoral nerve target organ during testicular descent in mice.,CRLF1,7
PMID,PMID:26804344,2,3,9606,"CLCF1,CRLF1","CLCF1,CRLF1",1.08e-06,0.0417,(2016) CrisponiCISS1 syndrome: A case series.,CRLF1,7
RCTM,HSA-6788467,4,17,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",3.33e-11,7.6e-08,IL-6-type cytokine receptor ligand interactions,CRLF1,7
RCTM,HSA-449147,6,453,9606,"IL12A,CLCF1,IL27,CNTF,CNTFR,CRLF1","IL12A,CLCF1,IL27,CNTF,CNTFR,CRLF1",1.06e-09,8.08e-07,Signaling by Interleukins,CRLF1,7
RCTM,HSA-447115,3,56,9606,"IL12A,IL27,CRLF1","IL12A,IL27,CRLF1",8.85e-07,0.0004,Interleukin-12 family signaling,CRLF1,7
RCTM,HSA-9020956,2,11,9606,"IL27,CRLF1","IL27,CRLF1",8.42e-06,0.0027,Interleukin-27 signaling,CRLF1,7
WikiPathways,WP5095,3,126,9606,"IL12A,IL27,CNTF","IL12A,IL27,CNTF",9.41e-06,0.0073,Overview of proinflammatory and profibrotic mediators,CRLF1,7
NetworkNeighborAL,CL:16089,4,25,9606,"IL12A,IL27,CNTF,CNTFR","IL12A,IL27,CNTF,CNTFR",1.32e-10,6.04e-07,"IL-6-type cytokine receptor ligand interactions, and Positive regulation of NK T cell proliferation",CRLF1,7
NetworkNeighborAL,CL:29453,3,23,9606,"CLCF1,REX1BD,CRLF1","CLCF1,REX1BD,CRLF1",7.11e-08,8.13e-05,"Mostly uncharacterized, incl. CRLF-CLCF1 complex, and Connector enhancer of kinase suppressor of ras 2/3 domain",CRLF1,7
NetworkNeighborAL,CL:16092,2,6,9606,"CNTF,CNTFR","CNTF,CNTFR",3.03e-06,0.0017,IL-6-type cytokine receptor ligand interactions,CRLF1,7
NetworkNeighborAL,CL:16115,2,12,9606,"IL12A,IL27","IL12A,IL27",9.82e-06,0.005,"Positive regulation of NK T cell proliferation, and interleukin-27 receptor binding",CRLF1,7
