category,term,number_of_genes,number_of_genes_in_background,ncbiTaxonId,inputGenes,preferredNames,p_value,fdr,description,Seed_Gene,Neighborhood_Size
PMID,PMID:30902524,3,7,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",3.29e-09,0.00055,(2019) Muscle ciliary neurotrophic factor receptor alpha helps maintain choline acetyltransferase levels in denervated motor neurons following peripheral nerve lesion.,CRLF1,7
PMID,PMID:23504871,3,7,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",3.29e-09,0.00055,(2013) Muscle ciliary neurotrophic factor receptor alpha promotes axonal regeneration and functional recovery following peripheral nerve lesion.,CRLF1,7
PMID,PMID:22986012,3,8,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",4.52e-09,0.00066,(2012) The cytokines cardiotrophin-like cytokinecytokine-like factor-1 (CLCCLF) and ciliary neurotrophic factor (CNTF) differ in their receptor specificities.,CRLF1,7
PMID,PMID:12843240,3,8,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",4.52e-09,0.00066,(2003) Glial reactivity in ciliary neurotrophic factor-deficient mice after optic nerve lesion.,CRLF1,7
PMID,PMID:40708997,3,10,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",7.84e-09,0.0011,(2025) Association analysis of single nucleotide polymorphisms in the LIFR gene with lambing number in sheep.,CRLF1,7
PMID,PMID:36222303,3,10,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",7.84e-09,0.0011,"(2022) Uncovering the promiscuous activity of IL-6 proteins: A multi-dimensional analysis of phylogeny, classification and residue conservation.",CRLF1,7
PMID,PMID:30554447,3,10,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",7.84e-09,0.0011,(2019) Muscle ciliary neurotrophic factor receptor alpha contributes to motor neuron STAT3 activation following peripheral nerve lesion.,CRLF1,7
PMID,PMID:11294841,3,10,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",7.84e-09,0.0011,(2001) Signaling pathways recruited by the cardiotrophin-like cytokinecytokine-like factor-1 composite cytokine: specific requirement of the membrane-bound form of ciliary neurotrophic factor receptor alpha component.,CRLF1,7
PMID,PMID:31156640,4,80,9606,"CLCF1,IL27,CNTF,CNTFR","CLCF1,IL27,CNTF,CNTFR",1.06e-08,0.0013,(2019) Coordination of Immune-Stroma Crosstalk by IL-6 Family Cytokines.,CRLF1,7
PMID,PMID:30578761,3,12,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",1.25e-08,0.0015,(2019) Leukemia inhibitory factor signaling in Xenopus embryo: Insights from gain of function analysis and dominant negative mutant of the receptor.,CRLF1,7
PMID,PMID:35530960,3,13,9606,"CLCF1,CNTFR,CRLF1","CLCF1,CNTFR,CRLF1",1.53e-08,0.0018,(2022) CLCF1 is up-regulated in renal ischemia reperfusion injury and may associate with FOXO3.,CRLF1,7
PMID,PMID:21164505,3,14,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",1.86e-08,0.0022,(2011) Gp130 cytokines exert differential patterns of crosstalk in adipocytes both in vitro and in vivo.,CRLF1,7
PMID,PMID:17563726,3,14,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",1.86e-08,0.0022,(2007) Expression of ciliary neurotrophic factor (CNTF) and its tripartite receptor complex by cells of the human optic nerve head.,CRLF1,7
PMID,PMID:15249728,3,14,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",1.86e-08,0.0022,(2004) Comparative study of gp130 cytokine effects on corticotroph AtT-20 cells--redundancy or specificity of neuroimmunoendocrine modulators?,CRLF1,7
PMID,PMID:21106488,4,103,9606,"CLCF1,IL27,CNTF,CNTFR","CLCF1,IL27,CNTF,CNTFR",2.84e-08,0.0031,(2010) Evolutionary divergence and functions of the human interleukin (IL) gene family.,CRLF1,7
PMID,PMID:32530750,3,17,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",3.12e-08,0.0033,(2020) Different roles of interleukin 6 and interleukin 11 in the liver: implications for therapy.,CRLF1,7
PMID,PMID:25540807,3,17,9606,"CLCF1,CNTF,CRLF1","CLCF1,CNTF,CRLF1",3.12e-08,0.0033,(2014) Unusual Stuve-Wiedemann syndrome with complete maternal chromosome 5 isodisomy.,CRLF1,7
PMID,PMID:26146641,3,18,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",3.64e-08,0.0037,"(2015) Renal and Hematological Effects of CLCF-1, a B-Cell-Stimulating Cytokine of the IL-6 Family.",CRLF1,7
PMID,PMID:24616665,3,19,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",4.21e-08,0.0043,(2014) Trophic factors as modulators of motor neuron physiology and survival: implications for ALS therapy.,CRLF1,7
PMID,PMID:36034849,3,20,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",4.85e-08,0.0048,(2022) A combined aging and immune prognostic signature predict prognosis and responsiveness to immunotherapy in melanoma.,CRLF1,7
PMID,PMID:21375496,3,20,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",4.85e-08,0.0048,(2011) The gp130 receptor cytokine family: regulators of adipocyte development and function.,CRLF1,7
PMID,PMID:25259790,3,21,9606,"IL27,CNTF,CNTFR","IL27,CNTF,CNTFR",5.54e-08,0.0053,"(2014) Recombinant p35 from bacteria can form Interleukin (IL-)12, but Not IL-35.",CRLF1,7
PMID,PMID:31538427,3,22,9606,"IL27,CNTF,CNTFR","IL27,CNTF,CNTFR",6.29e-08,0.0059,(2019) microRNA-146a Promotes Growth of Acute Leukemia Cells by Downregulating Ciliary Neurotrophic Factor Receptor and Activating JAK2STAT3 Signaling.,CRLF1,7
PMID,PMID:28265003,3,24,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",8e-08,0.0073,(2017) SorLA in Interleukin-6 Signaling and Turnover.,CRLF1,7
PMID,PMID:28491286,3,24,9606,"CLCF1,CNTF,CRLF1","CLCF1,CNTF,CRLF1",8e-08,0.0073,(2017) Unwinding focal segmental glomerulosclerosis.,CRLF1,7
PMID,PMID:22319590,3,24,9606,"CLCF1,CNTFR,CRLF1","CLCF1,CNTFR,CRLF1",8e-08,0.0073,(2012) STAT3 is activated by JAK2 independent of key oncogenic driver mutations in non-small cell lung carcinoma.,CRLF1,7
PMID,PMID:34603342,3,25,9606,"CLCF1,IL27,CRLF1","CLCF1,IL27,CRLF1",8.96e-08,0.0078,(2021) A Chaperone-Like Role for EBI3 in Collaboration With Calnexin Under Inflammatory Conditions.,CRLF1,7
PMID,PMID:20554759,3,25,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",8.96e-08,0.0078,(2010) Forced homo- and heterodimerization of all gp130-type receptor complexes leads to constitutive ligand-independent signaling and cytokine-independent growth.,CRLF1,7
PMID,PMID:31552057,3,27,9606,"CLCF1,CNTFR,CRLF1","CLCF1,CNTFR,CRLF1",1.11e-07,0.0094,(2019) Cardiotrophin-Like Cytokine Factor 1 Exhibits a Myeloid-Biased Hematopoietic-Stimulating Function.,CRLF1,7
PMID,PMID:37061565,3,28,9606,"IL27,CNTF,CNTFR","IL27,CNTF,CNTFR",1.23e-07,0.0102,(2023) Cytokimera GIL-11 rescued IL-6R deficient mice from partial hepatectomy-induced death by signaling via non-natural gp130:LIFR:IL-11R complexes.,CRLF1,7
PMID,PMID:31700175,3,29,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",1.36e-07,0.0111,(2019) Antitumor activity of an engineered decoy receptor targeting CLCF1-CNTFR signaling in lung adenocarcinoma.,CRLF1,7
PMID,PMID:23818941,3,29,9606,"CLCF1,CNTFR,CRLF1","CLCF1,CNTFR,CRLF1",1.36e-07,0.0111,(2013) Cytokine receptor-like factor 1 (CRLF1) protects against 6-hydroxydopamine toxicity independent of the gp130JAK signaling pathway.,CRLF1,7
PMID,PMID:32780864,3,31,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",1.63e-07,0.0129,(2020) CNTF Prevents Development of Outer Retinal Neovascularization Through Upregulation of CxCl10.,CRLF1,7
PMID,PMID:37069261,3,32,9606,"IL27,CNTF,CNTFR","IL27,CNTF,CNTFR",1.79e-07,0.0139,"(2023) Targeting IL-6 trans-signalling: past, present and future prospects.",CRLF1,7
PMID,PMID:21715184,3,32,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",1.79e-07,0.0139,(2011) Cytokine-like factor 1 (CLF1): life after development?,CRLF1,7
PMID,PMID:26279360,3,35,9606,"IL27,CNTF,CNTFR","IL27,CNTF,CNTFR",2.3e-07,0.0174,(2015) Interleukin 35: Critical regulator of immunity and lymphocyte-mediated diseases.,CRLF1,7
PMID,PMID:38045285,3,38,9606,"CLCF1,CNTFR,CRLF1","CLCF1,CNTFR,CRLF1",2.91e-07,0.0217,(2023) Spatial transcriptomics defines injury-specific microenvironments in the adult mouse kidney and novel cellular interactions in regeneration and disease.,CRLF1,7
PMID,PMID:20044292,3,38,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",2.91e-07,0.0217,(2010) Upregulation of elastase activity in aorta in mucopolysaccharidosis I and VII dogs may be due to increased cytokine expression.,CRLF1,7
PMID,PMID:33606986,3,39,9606,"IL27,CNTF,CNTFR","IL27,CNTF,CNTFR",3.13e-07,0.0227,(2021) Structural basis for IL-12 and IL-23 receptor sharing reveals a gateway for shaping actions on T versus NK cells.,CRLF1,7
PMID,PMID:29163025,3,39,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",3.13e-07,0.0227,(2017) BDNFtrkB Induction of Calcium Transients through Cav2.2 Calcium Channels in Motoneurons Corresponds to F-actin Assembly and Growth Cone Formation on beta2-Chain Laminin (221).,CRLF1,7
PMID,PMID:32788655,3,40,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",3.37e-07,0.0237,"(2020) The JAK1STAT3SOCS3 axis in bone development, physiology, and pathology.",CRLF1,7
PMID,PMID:30298554,3,40,9606,"CLCF1,CNTFR,CRLF1","CLCF1,CNTFR,CRLF1",3.37e-07,0.0237,(2019) Annotating Transcriptional Effects of Genetic Variants in Disease-Relevant Tissue: Transcriptome-Wide Allelic Imbalance in Osteoarthritic Cartilage.,CRLF1,7
PMID,PMID:37692101,3,44,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",4.42e-07,0.0303,(2023) Neurotrophic factors in the physiology of motor neurons and their role in the pathobiology and therapeutic approach to amyotrophic lateral sclerosis.,CRLF1,7
PMID,PMID:23880850,3,44,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",4.42e-07,0.0303,(2013) Role of cytokine signaling during nervous system development.,CRLF1,7
PMID,PMID:32930881,3,45,9606,"CLCF1,CNTFR,CRLF1","CLCF1,CNTFR,CRLF1",4.71e-07,0.0315,(2020) The diversity of neuronal phenotypes in rodent and human autonomic ganglia.,CRLF1,7
PMID,PMID:33334075,3,45,9606,"CLCF1,IL27,CNTF","CLCF1,IL27,CNTF",4.71e-07,0.0315,(2020) The Role of gp130 Cytokines in Tuberculosis.,CRLF1,7
PMID,PMID:36233301,3,47,9606,"CLCF1,CNTF,CRLF1","CLCF1,CNTF,CRLF1",5.34e-07,0.0348,(2022) Calcium-Bound S100P Protein Is a Promiscuous Binding Partner of the Four-Helical Cytokines.,CRLF1,7
PMID,PMID:40393625,2,3,9606,"CLCF1,CRLF1","CLCF1,CRLF1",1.08e-06,0.0417,(2025) High-yield production of recombinant CLCF1 protein fused with human serum albumin in animal cells and toxicity evaluation in rodents.,CRLF1,7
PMID,PMID:37759746,3,59,9606,"CLCF1,CNTF,CRLF1","CLCF1,CNTF,CRLF1",1.03e-06,0.0417,(2023) Interaction of S100A6 Protein with the Four-Helical Cytokines.,CRLF1,7
PMID,PMID:37795085,3,56,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",8.85e-07,0.0417,(2023) Current understanding of the molecular mechanisms of circulating permeability factor in focal segmental glomerulosclerosis.,CRLF1,7
PMID,PMID:37945321,3,55,9606,"CLCF1,IL27,CNTF","CLCF1,IL27,CNTF",8.4e-07,0.0417,(2023) New perspectives in cancer immunotherapy: targeting IL-6 cytokine family.,CRLF1,7
PMID,PMID:34779136,3,64,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",1.3e-06,0.0417,"(2022) LIF, a mitogen for choroidal endothelial cells, protects the choriocapillaris: implications for prevention of geographic atrophy.",CRLF1,7
PMID,PMID:35328707,3,55,9606,"IL27,CNTF,CNTFR","IL27,CNTF,CNTFR",8.4e-07,0.0417,(2022) Stimulation of Osteoclast Formation by Oncostatin M and the Role of WNT16 as a Negative Feedback Regulator.,CRLF1,7
PMID,PMID:35699517,2,3,9606,"CLCF1,CRLF1","CLCF1,CRLF1",1.08e-06,0.0417,(2022) Clinical and molecular genetic findings of Crisponicold-induced sweating syndrome (CSCISS) spectrum in patients from Turkey.,CRLF1,7
PMID,PMID:36334441,2,2,9606,"CLCF1,CNTF","CLCF1,CNTF",6.49e-07,0.0417,(2022) CNTF induces Clcf1 in astrocytes to promote the differentiation of oligodendrocyte precursor cells.,CRLF1,7
PMID,PMID:33910095,2,2,9606,"CNTFR,CRLF1","CNTFR,CRLF1",6.49e-07,0.0417,(2021) Three new cases of Crisponi cold induced sweating syndrome (CSCISS1) in Turkish families.,CRLF1,7
PMID,PMID:34045653,3,60,9606,"IL27,CNTF,CRLF1","IL27,CNTF,CRLF1",1.08e-06,0.0417,"(2021) IL-30(+) (IL-27A): a familiar stranger in immunity, inflammation, and cancer.",CRLF1,7
PMID,PMID:31932351,2,3,9606,"CNTF,CNTFR","CNTF,CNTFR",1.08e-06,0.0417,(2020) GDE3 regulates oligodendrocyte precursor proliferation via release of soluble CNTFRalpha.,CRLF1,7
PMID,PMID:32023849,3,65,9606,"IL27,CNTF,CNTFR","IL27,CNTF,CNTFR",1.36e-06,0.0417,(2020) GP130 Cytokines in Breast Cancer and Bone.,CRLF1,7
PMID,PMID:32267936,3,62,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",1.19e-06,0.0417,(2020) Historical overview of the interleukin-6 family cytokine.,CRLF1,7
PMID,PMID:32313077,3,53,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",7.55e-07,0.0417,(2020) Impacts of ciliary neurotrophic factor on the retinal transcriptome in a mouse model of photoreceptor degeneration.,CRLF1,7
PMID,PMID:30885765,2,2,9606,"IL12A,CRLF1","IL12A,CRLF1",6.49e-07,0.0417,(2019) Revisiting the combinatorial potential of cytokine subunits in the IL-12 family.,CRLF1,7
PMID,PMID:30995503,3,53,9606,"IL27,CNTF,CRLF1","IL27,CNTF,CRLF1",7.55e-07,0.0417,(2019) The Immunobiology of the Interleukin-12 Family: Room for Discovery.,CRLF1,7
PMID,PMID:28255204,3,67,9606,"IL27,CNTF,CRLF1","IL27,CNTF,CRLF1",1.49e-06,0.0417,(2017) Dual Roles of IL-27 in Cancer Biology and Immunotherapy.,CRLF1,7
PMID,PMID:28256556,3,65,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",1.36e-06,0.0417,(2017) An inflammatory gene signature distinguishes neurofibroma Schwann cells and macrophages from cells in the normal peripheral nervous system.,CRLF1,7
PMID,PMID:28883757,3,57,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",9.31e-07,0.0417,(2017) Time-dependent proteomic and genomic alterations in Toll-like receptor-4-activated human chondrocytes: increased expression of lamin AC and annexins.,CRLF1,7
PMID,PMID:26718832,2,2,9606,"CNTF,CNTFR","CNTF,CNTFR",6.49e-07,0.0417,(2016) Neurotrophin signaling in a genitofemoral nerve target organ during testicular descent in mice.,CRLF1,7
PMID,PMID:26804344,2,3,9606,"CLCF1,CRLF1","CLCF1,CRLF1",1.08e-06,0.0417,(2016) CrisponiCISS1 syndrome: A case series.,CRLF1,7
RCTM,HSA-6788467,4,17,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",3.33e-11,7.6e-08,IL-6-type cytokine receptor ligand interactions,CRLF1,7
RCTM,HSA-449147,6,453,9606,"IL12A,CLCF1,IL27,CNTF,CNTFR,CRLF1","IL12A,CLCF1,IL27,CNTF,CNTFR,CRLF1",1.06e-09,8.08e-07,Signaling by Interleukins,CRLF1,7
RCTM,HSA-447115,3,56,9606,"IL12A,IL27,CRLF1","IL12A,IL27,CRLF1",8.85e-07,0.0004,Interleukin-12 family signaling,CRLF1,7
RCTM,HSA-9020956,2,11,9606,"IL27,CRLF1","IL27,CRLF1",8.42e-06,0.0027,Interleukin-27 signaling,CRLF1,7
WikiPathways,WP5095,3,126,9606,"IL12A,IL27,CNTF","IL12A,IL27,CNTF",9.41e-06,0.0073,Overview of proinflammatory and profibrotic mediators,CRLF1,7
NetworkNeighborAL,CL:16089,4,25,9606,"IL12A,IL27,CNTF,CNTFR","IL12A,IL27,CNTF,CNTFR",1.32e-10,6.04e-07,"IL-6-type cytokine receptor ligand interactions, and Positive regulation of NK T cell proliferation",CRLF1,7
NetworkNeighborAL,CL:29453,3,23,9606,"CLCF1,REX1BD,CRLF1","CLCF1,REX1BD,CRLF1",7.11e-08,8.13e-05,"Mostly uncharacterized, incl. CRLF-CLCF1 complex, and Connector enhancer of kinase suppressor of ras 2/3 domain",CRLF1,7
NetworkNeighborAL,CL:16092,2,6,9606,"CNTF,CNTFR","CNTF,CNTFR",3.03e-06,0.0017,IL-6-type cytokine receptor ligand interactions,CRLF1,7
NetworkNeighborAL,CL:16115,2,12,9606,"IL12A,IL27","IL12A,IL27",9.82e-06,0.005,"Positive regulation of NK T cell proliferation, and interleukin-27 receptor binding",CRLF1,7
DISEASES,DOID:0111542,2,2,9606,"TNFRSF11B,TNFRSF11A","TNFRSF11B,TNFRSF11A",9.27e-08,0.00043,Familial expansile osteolysis,TNFRSF11B,3
DISEASES,DOID:5408,2,7,9606,"TNFRSF11B,TNFRSF11A","TNFRSF11B,TNFRSF11A",5.56e-07,0.0013,Pagets disease of bone,TNFRSF11B,3
KEGG,hsa04060,3,282,9606,"IL17RC,TNFRSF11B,TNFRSF11A","IL17RC,TNFRSF11B,TNFRSF11A",3e-06,0.001,Cytokine-cytokine receptor interaction,TNFRSF11B,3
KEGG,hsa04380,2,120,9606,"TNFRSF11B,TNFRSF11A","TNFRSF11B,TNFRSF11A",0.00011,0.0191,Osteoclast differentiation,TNFRSF11B,3
SMART,SM00208,2,24,9606,"TNFRSF11B,TNFRSF11A","TNFRSF11B,TNFRSF11A",5.02e-06,0.0041,Tumor necrosis factor receptor / nerve growth factor receptor repeats.,TNFRSF11B,3
InterPro,IPR022323,2,2,9606,"TNFRSF11B,TNFRSF11A","TNFRSF11B,TNFRSF11A",9.27e-08,0.00067,Tumour necrosis factor receptor 11,TNFRSF11B,3
InterPro,IPR001368,2,25,9606,"TNFRSF11B,TNFRSF11A","TNFRSF11B,TNFRSF11A",5.42e-06,0.0195,TNFR/NGFR cysteine-rich region,TNFRSF11B,3
PMID,PMID:22380539,3,27,9606,"IL17RC,TNFRSF11B,TNFRSF11A","IL17RC,TNFRSF11B,TNFRSF11A",3.19e-09,0.0164,(2012) The relationship between osteoclastogenic and anti-osteoclastogenic pro-inflammatory cytokines differs in human osteoporotic and osteoarthritic bone tissues.,TNFRSF11B,3
WikiPathways,WP12,2,16,9606,"TNFRSF11B,TNFRSF11A","TNFRSF11B,TNFRSF11A",2.36e-06,0.0018,Osteoclast signaling,TNFRSF11B,3
WikiPathways,WP4786,2,33,9606,"TNFRSF11B,TNFRSF11A","TNFRSF11B,TNFRSF11A",9.19e-06,0.0036,Type I collagen synthesis in the context of osteogenesis imperfecta,TNFRSF11B,3
WikiPathways,WP2018,2,55,9606,"TNFRSF11B,TNFRSF11A","TNFRSF11B,TNFRSF11A",2.46e-05,0.0064,RANKL/RANK signaling pathway,TNFRSF11B,3
WikiPathways,WP5205,2,80,9606,"TNFRSF11B,TNFRSF11A","TNFRSF11B,TNFRSF11A",5.12e-05,0.01,Clock-controlled autophagy in bone metabolism,TNFRSF11B,3
HPO,HP:0003080,2,8,9606,"TNFRSF11B,TNFRSF11A","TNFRSF11B,TNFRSF11A",6.95e-07,0.0085,Hydroxyprolinuria,TNFRSF11B,3
HPO,HP:0100670,2,21,9606,"TNFRSF11B,TNFRSF11A","TNFRSF11B,TNFRSF11A",3.91e-06,0.0198,Coarse metaphyseal trabecularization,TNFRSF11B,3
HPO,HP:0004437,2,44,9606,"TNFRSF11B,TNFRSF11A","TNFRSF11B,TNFRSF11A",1.6e-05,0.0325,Cranial hyperostosis,TNFRSF11B,3
HPO,HP:0006480,2,47,9606,"TNFRSF11B,TNFRSF11A","TNFRSF11B,TNFRSF11A",1.81e-05,0.0325,Premature loss of teeth,TNFRSF11B,3
HPO,HP:0003110,3,638,9606,"IL17RC,TNFRSF11B,TNFRSF11A","IL17RC,TNFRSF11B,TNFRSF11A",3.43e-05,0.0465,Abnormality of urine homeostasis,TNFRSF11B,3
HPO,HP:0003155,2,67,9606,"TNFRSF11B,TNFRSF11A","TNFRSF11B,TNFRSF11A",3.62e-05,0.0465,Elevated circulating alkaline phosphatase concentration,TNFRSF11B,3
NetworkNeighborAL,CL:20013,2,11,9606,"TNFRSF11B,TNFRSF11A","TNFRSF11B,TNFRSF11A",1.21e-06,0.0055,"Osteopetrosis, and DC-STAMP-like protein",TNFRSF11B,3
